# current I	voltageV	Temperature T
1.0000000000000002e-10	3.0993548545024426e-05	0.015
2.0000000000000002e-11	6.206706307736366e-06	0.015
5.000000000000001e-11	1.551238353885577e-05	0.015
1.0000000000000002e-10	3.0993548545024426e-05	0.015
2.0000000000000003e-10	6.173991097163986e-05	0.015
5e-10	0.0001502885319905167	0.015
1e-09	0.00027726153473976375	0.015
2e-09	0.00044949491188653367	0.015
5e-09	0.0006645186198809956	0.015
1e-08	0.0007882742775530797	0.015
1.0000000000000002e-10	8.829125512913903e-06	0.01888888888888889
2.0000000000000002e-11	1.7659724217850605e-06	0.01888888888888889
5.000000000000001e-11	4.4148504780820716e-06	0.01888888888888889
1.0000000000000002e-10	8.829125512913903e-06	0.01888888888888889
2.0000000000000003e-10	1.7653650674521088e-05	0.01888888888888889
5e-10	4.405397629841206e-05	0.01888888888888889
1e-09	8.754538649572486e-05	0.01888888888888889
2e-09	0.00017087493878558486	0.01888888888888889
5e-09	0.00037416132270519126	0.01888888888888889
1e-08	0.00057643901838678	0.01888888888888889
1.0000000000000002e-10	3.5207342829539294e-06	0.02277777777777778
2.0000000000000002e-11	7.041539240231048e-07	0.02277777777777778
5.000000000000001e-11	1.7603809449892513e-06	0.02277777777777778
1.0000000000000002e-10	3.5207342829539294e-06	0.02277777777777778
2.0000000000000003e-10	7.041247728697721e-06	0.02277777777777778
5e-10	1.7599256795533496e-05	0.02277777777777778
1e-09	3.517098465854058e-05	0.02277777777777778
2e-09	7.01236084055656e-05	0.02277777777777778
5e-09	0.0001716833794350272	0.02277777777777778
1e-08	0.00032185795040715217	0.02277777777777778
1.0000000000000002e-10	1.7306817676291007e-06	0.026666666666666665
2.0000000000000002e-11	3.46136979848314e-07	0.026666666666666665
5.000000000000001e-11	8.65342107099582e-07	0.026666666666666665
1.0000000000000002e-10	1.7306817676291007e-06	0.026666666666666665
2.0000000000000003e-10	3.461343963008819e-06	0.026666666666666665
5e-10	8.653017428001494e-06	0.026666666666666665
1e-09	1.7303589568717987e-05	0.026666666666666665
2e-09	3.458764786734625e-05	0.026666666666666665
5e-09	8.613075228429109e-05	0.026666666666666665
1e-08	0.00016993770257377641	0.026666666666666665
1.0000000000000002e-10	9.788909037226398e-07	0.030555555555555558
2.0000000000000002e-11	1.95778265487228e-07	0.030555555555555558
5.000000000000001e-11	4.894456173743697e-07	0.030555555555555558
1.0000000000000002e-10	9.788909037226398e-07	0.030555555555555558
2.0000000000000003e-10	1.957779159246792e-06	0.030555555555555558
5e-10	4.894401555797309e-06	0.030555555555555558
1e-09	9.788472127988514e-06	0.030555555555555558
2e-09	1.9574297416687865e-05	0.030555555555555558
5e-09	4.888953879189302e-05	0.030555555555555558
1e-08	9.745228558567397e-05	0.030555555555555558
1.0000000000000002e-10	6.115713477882843e-07	0.034444444444444444
2.0000000000000002e-11	1.223142851542159e-07	0.034444444444444444
5.000000000000001e-11	3.057857043561695e-07	0.034444444444444444
1.0000000000000002e-10	6.115713477882843e-07	0.034444444444444444
2.0000000000000003e-10	1.2231422081846987e-06	0.034444444444444444
5e-10	3.057846991167878e-06	0.034444444444444444
1e-09	6.115633060632845e-06	0.034444444444444444
2e-09	1.223077880465516e-05	0.034444444444444444
5e-09	3.056842535014915e-05	0.034444444444444444
1e-08	6.10761632426207e-05	0.034444444444444444
1.0000000000000002e-10	4.112397092776999e-07	0.03833333333333333
2.0000000000000002e-11	8.224794547860291e-08	0.03833333333333333
5.000000000000001e-11	2.0561986171514463e-07	0.03833333333333333
1.0000000000000002e-10	4.112397092776999e-07	0.03833333333333333
2.0000000000000003e-10	8.224793053347345e-07	0.03833333333333333
5e-10	2.0561962819804e-06	0.03833333333333333
1e-09	4.112378411564065e-06	0.03833333333333333
2e-09	8.224643608617254e-06	0.03833333333333333
5e-09	2.055962828968168e-05	0.03833333333333333
1e-08	4.110512339063427e-05	0.03833333333333333
1.0000000000000002e-10	2.9250967155442403e-07	0.042222222222222223
2.0000000000000002e-11	5.850193532027552e-08	0.042222222222222223
5.000000000000001e-11	1.462548377486782e-07	0.042222222222222223
1.0000000000000002e-10	2.9250967155442403e-07	0.042222222222222223
2.0000000000000003e-10	5.850193115653955e-07	0.042222222222222223
5e-10	1.4625477269036354e-06	0.042222222222222223
1e-09	2.925091510896318e-06	0.042222222222222223
2e-09	5.8501514790227515e-06	0.042222222222222223
5e-09	1.4624826757063502e-05	0.042222222222222223
1e-08	2.924571273767859e-05	0.042222222222222223
1.0000000000000002e-10	2.174310307210894e-07	0.04611111111111112
2.0000000000000002e-11	4.348620646945918e-08	0.04611111111111112
5.000000000000001e-11	1.0871551599578165e-07	0.04611111111111112
1.0000000000000002e-10	2.174310307210894e-07	0.04611111111111112
2.0000000000000003e-10	4.3486205127838716e-07	0.04611111111111112
5e-10	1.0871549503296985e-06	0.04611111111111112
1e-09	2.1743086301883956e-06	0.04611111111111112
2e-09	4.348607096682247e-06	0.04611111111111112
5e-09	1.0871339885279706e-05	0.04611111111111112
1e-08	2.1741409602564452e-05	0.04611111111111112
1.0000000000000002e-10	1.6743273276577135e-07	0.05
2.0000000000000002e-11	3.348654667116552e-08	0.05
5.000000000000001e-11	8.371636661337644e-08	0.05
1.0000000000000002e-10	1.6743273276577135e-07	0.05
2.0000000000000003e-10	3.348654618436925e-07	0.05
5e-10	8.371635900718601e-07	0.05
1e-09	1.674326719162905e-06	0.05
2e-09	3.348649750492045e-06	0.05
5e-09	8.371559840566839e-06	0.05
1e-08	1.6742658752895257e-05	0.05
